id	Tijdstempel	1. Ваш пол	sex	2. Ваш возраст	age_group	3. Где вы живете?	residence	4. Где вы родились и жили первые годы жизни?	birth_place	5. Кто вы по национальности?	nationality	Как вы отвечаете на этот вопрос когда его задают в Ботлихе?	nationality_botlikh	Как вы бы ответили на этот вопрос в Махачкале?	nationality_makhachkala	Как вы бы ответили на этот вопрос в Москве?	nationality_moscow	Как вы бы ответили на этот вопрос за границей?	nationality_abroad	6. Как называется ваш родной язык на вашем родном языке?	your_native_language	7. Ботлихцы являются	botlikh_ethnos	Если вы выбрали “другое”, как вы бы описали этническую принадлежность ботлихцев?	8. Родным языком для ботлихцев является	botlikh_native_language	Если вы выбрали “другое”, какой язык по-вашему является родным языком для ботлихцев?	9. Ботлихский является	botlikh_lang	Если вы считаете ботлихский диалектом, то к какому языку он по-вашему относится?	10. Миарсинский является	miarso_lang	Если вы считаете миарсинский диалектом, то к какому языку он по-вашему относится?	11. Ашиновский является	ashino_lang	Если вы считаете ашиновский диалектом, то к какому языку он по-вашему относится?	12. На каком языке или на каких языках говорят в вашей семье?	family_lang	family_botlikh	family_avar	family_russian	family_other	13. С кем вы разговариваете на своем языке?	botlikh_parents	botlikh_relatives	botlikh_children	botlikh_villagers	botlikh_partner	botlikh_elderly	botlikh_neighbors	14. Считаете ли вы важным знать свой язык?	Если хотите, поясните, пожалуйста, ваш ответ на этот вопрос.	15. Считаете ли вы важным передать свой язык детям?	Если хотите, поясните, пожалуйста, ваш ответ на этот вопрос.	16. На каком языке вы пишете в соцсетях?	socials_botlikh	socials_avar	socials_russian	От чего зависит выбор языка в соцсетях?	17. На каком языке вы говорите на базаре в Ботлихе?	market_botlikh	market_avar	market_russian	Что определяет выбор языка на базаре?	18. Как вам кажется, много ли в Ботлихе смешанных браков в плане языка?	mixed_marriages	19. В смешанных браках на каком языке скорее всего будут говорить дети?	mixed_languages	20. Как вы оцениваете собственное владение ботлихским?	proficiency	Если вы выбрали “другое”, как вы бы описали свой уровень владение ботлихским?	21. Характерен ли ваш уровень владения языком для людей вашего поколения?	typical_proficiency	22. Как вам кажется, может ли так случиться, что на ботлихском скоро перестанут говорить?	likely_language_death	23. Считаете ли вы полезным преподавание аварского языка в школе в Ботлихе?	avar_school	24. Хотели ли бы вы, чтобы ваши дети учили ботлихский в школе?	botlikh_school	25. Важно уметь говорить на своем языке.	26. Ботлихский язык не прокормит.	27. Знание языка своих предков обязательно.	28. Знание ботлихского языка мешает хорошо выучить русский.	29. Если ботлихский язык исчезнет, это будет плохо.	30. Дети должны знать аварский.	avar	31. Дети должны знать ботлихский.	botlikh	32. Дети должны знать русский.	russian	33. Дети должны знать арабский.	arabic	34. Дети должны знать английский.	english	35. Государство должно поддерживать местные языки.	36. Сохранение ботлихского языка - дело ботлихцев.	37. Создание официальной ботлихской письменности	38. Создание учебных материалов по ботлихскому (азбука, разговорник, учебник)	39. Общественные мероприятия, такие как диктант на ботлихском	40. Проведение обязательных уроков ботлихского в школе	41. Проведение курсов ботлихского на добровольной основе	42. Газета или новостная передача на ботлихском	43. Перевод или создание книг, мультиков, и другого развлекательного контента на ботлихском	44. Какие из вышеупомянутых вещей вам кажутся наиболее полезными для сохранения ботлихского языка?	45. Какие материалы, ресурсы или мероприятия по ботлихскому вы бы хотели увидеть, которых сейчас нет?	46. Кто должен составить такие материалы как учебные пособия, курсы языка, и так далее?	47. Почему сохранение ботлихского языка вам кажется важным или, наоборот, неважным?	importance	О чем вы думаете, когда думаете о своем родном языке?	Какое ваше любимое слово на ботлихском языке?	Есть ли вопросы или замечания к нам?	Согласны ли вы, что за ваше участие перечислим 100р в фонд Инсан?
9	5/23/2022 21:16:38	Ж	f	36-45	36-45	Ботлих	Botlikh	Ашино	Ashino	Ботлихка	Botlikh	Бухалъи	Botlikh	Аварка	Avar	Дагестанка	Dagestanian	Россиянка	Russian	Буйхалъи миц1ц1и	Botlikh	аварцами	Avar		ботлихский	Botlikh		отдельным языком	independent language		отдельным языком	independent language		диалектом	dialect	К Ботлихскому( миарсо, Зибирхьали, Т1асут1а, Ансалтинский тоже ( смотря к какой семье относишься))	Ботлихском аварском и на рксском языке	Botlikh, Russian, Avar	Botlikh	Avar	Russian	NA	с родителями, с другими родственниками, с детьми, с односельчанами	parents	other relatives	children	fellow villagers	NA	NA	NA	да		да		на русском	NA	NA	Russian	Ну не считая вацап	на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	Смотря кто продяет товар . Бывает приезжие продавцы не аварцы сними по русскому...	Очень Много 	many	Я уверенна что на всех окружающих языках будут говорить	multiple	Свободно говорю.	fluent		Да	yes	нет	no	5	5	без разницы	neutral	5	3	5	1	4	5	5	5	5	5	5	4	4	3	3	4	1	4	3	4	2	3	1	1	добровольные курсы	Не думала об этом 	Професионалы со старейшинами	Как то правильно знать и говорит на родном языке. С прогрессом технологии интернета и тв, родной язык с подиума сливают	other	Ни о чем	Диб щикиб	Вы лучшие❤	да
5	5/22/2022 11:21:00	М	m	56-65	56-65	Ботлих, ул. Чирта	Botlikh	в Ботлихе	Botlikh	Буйихалъи	Botlikh	Буйихалъи	Botlikh	Аварец из Ботлиха	Botlikh	Аварец	Avar	Аварец, froom Dagestan. Russia	Mixed	Буйихалъи мицIцIи	Botlikh	субэтносом аварцев	Avar subethnos	Аварцами	ботлихский	Botlikh	Аварский	диалектом	dialect		диалектом	dialect	Ботлихскому	диалектом	dialect	Ашиновцы разговаривают на ботлихском языке	Ботлихском	Botlikh	Botlikh	NA	NA	NA	с супругой / с супругом, с другими родственниками, с детьми, с соседями, с односельчанами	NA	other relatives	children	fellow villagers	partner	NA	neighbors	да	Одним из факторов сохранения нации является знание родного языка. Если умрет язык, то нация расстворится в других национальностях	да	Дети должны стать носителями культуры, обычаев, языка предков	на русском	NA	NA	Russian	Удобством	на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	Смотря с кем разговаривать. С ботлихцем, с аварцем, с русским	по-моему нет	not many	должны знать оба языка	multiple	Свободно говорю.	fluent		Да	yes	нет	no	1	1	нет	no	5	3	5	1	5	5	5	5	5	5	5	3	3	3	3	5	4	5	5	5	4	5	4	4	письменность, учебные материалы, добровольные курсы, СМИ, развлекательный контент	Затрудняюсь ответить	затрудняюсь ответить	без языка нет народа	nation	Что язык не должен погибнутб	Не могу выделить какое-то одно отдельно взятое слово	хотелось бы чтобы почаще проводились подобные опросы и почаще публиковали публикации в соцсетях	да
12	5/25/2022 12:00:08	Ж	f	36-45	36-45	Махачкала 	Makhachkala	Махачкала 	Makhachkala	Аварка	Avar	Маг1арулай	Avar	Аварка	Avar	Дагестанка)	Dagestanian	Россиянка	Russian	Буйихалъи 	Botlikh	субэтносом аварцев	Avar subethnos		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	К ботлихскому.	диалектом	dialect	К ботлихскому 	Аварский,ботлихский	Botlikh, Avar	Botlikh	Avar	NA	NA	с родителями, с односельчанами	parents	NA	NA	fellow villagers	NA	NA	NA	да	Все должны знать свои корни в ТЧ и язык.	да		на русском	NA	NA	Russian	Разноязычность,русский как общий	на ботлихском, на аварском	Botlikh	Avar	NA	Откуда человек	Нет	not many	Аварский	lingua franca	Свободно говорю.	fluent		Да	yes	нет	no	3	3	нет	no	5	2	5	1	5	5	5	5	5	5	5	1	1	3	3	3	5	3	3	5	3	5	2	5	добровольные курсы, развлекательный контент	Обычаи,адаты ,постановки театральные	Носители языка, старшее поколение ,образованные в этой области	Каждый должен знать свои корни,потеря языка потеря корней	roots	О детстве,о бабушках и дедушках)	Ч1амч1ада)	Удачи вам	да
2	5/20/2022 12:41:32	Ж	f	36-45	36-45	Москве 	Moscow	Ботлих, старая часть. 	Botlikh	Аварка 	Avar	Буйихалъи. 	Botlikh	Из Ботлиха 	Botlikh	Из Дагестана, аварка, Родом из Ботлихского района	Mixed	Из России 	Russian	Буйихалъи. 	Botlikh	аварцами	Avar		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	Ботлихскому. 	диалектом	dialect	Ботлихскому	Ботлихский, русский	Botlikh, Russian	Botlikh	NA	Russian	NA	с родителями, с дедушкой и бабушкой / со старшими, с другими родственниками, с детьми	parents	other relatives	children	NA	NA	elderly	NA	да	Кто ты? Если не знаешь свой язык и откуда ты родом. 	да	Язык очень красивый. Удобно знать тот язык которые не все знают. 	на ботлихском, на русском	Botlikh	NA	Russian	От собеседника  	на ботлихском, на аварском	Botlikh	Avar	NA	С ботлихскими на ботлихском, а все остальные на аварском. 	Да. 	many	Я знаю много случаев когда говорят на Ботлихском. Он очень легкий в изучении. 	local	Свободно говорю.	fluent	8 из 10	Да. 	yes	да	yes	5	5	нет	no	5	1	5	1	5	5	5	5	5	5	5	4	4	5	5	5	1	4	5	4	4	5	5	5	учебные материалы, добровольные курсы, СМИ	Театры, праздники обычаи.  	Люди заинтересованные в развитии и знающие люди. ( заинтересованные-что бы это было интересно, а не из под указки.) 	Это кусочек моего я. 		Мне очень тепло на душе. 	Хазина  когда применяешь его относительно любимого человека или ребёнка. 	Только благодарность. Потому что заставляете задуматься. 	да
8	5/23/2022 17:39:12	Ж	f	36-45	36-45	Хасавюрт	Khasavyurt	Ботлих 	Botlikh	Аварка	Avar	Буйхалъи	Botlikh	Аварка	Avar	Так же	Avar	Аварка с Ботлиха	Mixed	Буйхалъи	Botlikh	аварцами	Avar		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	Ботлихскому	диалектом	dialect	Ботлихскому	На разных языках	different languages	NA	NA	NA	NA	с детьми	NA	NA	children	NA	NA	NA	NA	да		да	Потому что дети должны знать свой родной язык	на русском	NA	NA	Russian	От общего языка общения	на аварском	NA	Avar	NA	Собеседник	Да	many	На разных	multiple	Свободно говорю.	fluent		Да	yes	нет	no	5	5	нет	no	5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	2	3	4	2	4	3	2	добровольные курсы, развлекательный контент	Лекции	Учитель который хорошо знает язык	Важно,чтоб не потерять свою национальность 	nation				да
6	5/23/2022 9:08:01	М	m	26-35	26-35	Ботлих	Botlikh	Махачкала 	Makhachkala	Аварец	Avar	Аварец	Avar	Аварц	Avar	Аварец	Avar	Аварец	Avar	Буйихалъи миц1ц1и	Botlikh	субэтносом аварцев	Avar subethnos		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	Ботлихскому	диалектом	dialect	Ботлихскому	Русский, аварский, ботлихский	Botlikh, Russian, Avar	Botlikh	Avar	Russian	NA	с родителями, с дедушкой и бабушкой / со старшими, с другими родственниками, с детьми, с соседями, с односельчанами	parents	other relatives	children	fellow villagers	NA	elderly	neighbors	да	Нельзя забывать свои корни!!	да		на русском	NA	NA	Russian	От некоторой закономерности 	на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	Националисте собеседника	Да	many	На нескольких. Я сам из такой семьи. 	multiple	Свободно говорю.	fluent		Да	yes	нет	no	1	1	да	yes	5	5	5	1	5	5	5	5	5	5	5	3	3	3	3	5	5	5	5	5	5	5	5	5	письменность, учебные материалы, обязательные уроки, добровольные курсы, СМИ, развлекательный контент	Словарь ботлихского языка в общем доступе. 	Адекватные люди, уважающие свою историю. 	Пока мы знаем язык, наша история не забудется. Нет языка, нет нации. 	nation	Гордость за своё происхождение.	Бабу	Слишком наводящие вопросы. Но все к месту. 	нет
10	5/24/2022 21:42:31	Ж	f	56-65	56-65	Ботлих (микрорайон) 	Botlikh	Ботлих (старое село) 	Botlikh	Буйхалъи	Botlikh	Буйхалъи	Botlikh	Ботлихская	Botlikh	Дагестанка	Dagestanian	Дагестанка	Dagestanian	Буйхалъи миц1и	Botlikh	отдельным народом	separate ethnos		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	Ботлихскому	диалектом	dialect	Ботлихскому	Ботлихском, рикванинском, аварском	Botlikh, Avar, Andi (Rikvani)	Botlikh	Avar	NA	Andi	с родителями, с дедушкой и бабушкой / со старшими, с другими родственниками, с детьми, с соседями, с односельчанами	parents	other relatives	children	fellow villagers	NA	elderly	neighbors	да		да		на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	От собеседника 	на ботлихском, на аварском	Botlikh	Avar	NA	Собеседник	Сейчас уже много, раньше были единицы	many	Я с детьми разговариваю на ботлихском языке, муж с детьми на рикванинском, а я с мужем на аварском	multiple	Свободно говорю.	fluent		Да	yes	да	yes	1	1	да	yes	5	3	5	1	5	3	3	5	5	5	5	5	5	3	3	5	5	5	5	5	5	5	5	5	письменность, учебные материалы, обязательные уроки, СМИ, развлекательный контент	Книги, учебники, мультики.. 	Взрослое поколение	Чтобы не изчезли Ботлихцы- как этническая группа	nation	О детстве, когда все разговаривали на ботлихском языке. Даже аварцы которые жили в Ботлихе разговаривали на ботлихском языке. 	Бабу	Нет 	да
13	6/1/2022 11:35:07	Ж	f	26-35	26-35	Ботлих	Botlikh	Ботлих	Botlikh	Ботлихинка	Botlikh	Ботлихская	Botlikh	Ботлихская	Botlikh	Ботлихская	Botlikh	Ботлихская	Botlikh	Буйхалъи миц1и	Botlikh	отдельным народом	separate ethnos		ботлихский	Botlikh		отдельным языком	independent language		отдельным языком	independent language		диалектом	dialect		Ботлихский	Botlikh	Botlikh	NA	NA	NA	с родителями, с дедушкой и бабушкой / со старшими, с супругой / с супругом, с другими родственниками, с детьми, с соседями, с односельчанами	parents	other relatives	children	fellow villagers	partner	elderly	neighbors	да		да		на ботлихском, на русском	Botlikh	NA	Russian	От носителя языка	на ботлихском, на аварском	Botlikh	Avar	NA	От носителя языка	Да	many	На русском, аварском или это зависит от отца	paternal	Свободно говорю.	fluent		Да	yes	да	yes	1	1	да	yes	5	1	5	2	5	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	учебные материалы, обязательные уроки, добровольные курсы, СМИ, развлекательный контент	Книги	Учителя	Сохранить нацию	nation	"Страх, что будущее поколения забудут свой родной 
язык"	Хьвааб хъвардибе?	Нет.	да
7	5/23/2022 12:13:40	Ж	f	46-55	46-55	Ботлих	Botlikh	Ботлих	Botlikh	Аварка	Avar	Буихалъи	Botlikh	Аварка	Avar	Аварка	Avar	Буйхалъи	Botlikh	Буихалъи миц1ц1и	Botlikh	аварцами	Avar		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect	Ботлихскому	диалектом	dialect	Ботлихскому	Ботлихскому	Botlikh	Botlikh	NA	NA	NA	с родителями, с дедушкой и бабушкой / со старшими, с супругой / с супругом, с другими родственниками, с детьми, с соседями, с односельчанами	parents	other relatives	children	fellow villagers	partner	elderly	neighbors	да		да		на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	От национальности	на ботлихском, на аварском, на русском	Botlikh	Avar	Russian	От национальности с кем общаюсь	Да	many	На разных	multiple	Свободно говорю.	fluent		Да	yes	не уверен(а)	not sure	3	3	да	yes	5	3	5	1	1	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	5	5	5	5	письменность, учебные материалы, добровольные курсы	Книги	Специолисты	Важно для сохранения нации	nation	Об предках	Ишхъа	Нет	да
1	5/20/2022 9:11:48	Ж	f	16-25	16-25	Москва	Moscow	Махачкала	Makhachkala	Аварка	Avar	Маг|арулай	Avar	Аварка	Avar	Аварка	Avar	Avar from Dagestan	Mixed	Буйхальи мицц1и 	Botlikh	аварцами	Avar		ботлихский	Botlikh		отдельным языком	independent language		диалектом	dialect		диалектом	dialect		Ботлихский, аварский , русский 	Botlikh, Russian, Avar	Botlikh	Avar	Russian	NA	с родителями, с дедушкой и бабушкой / со старшими, с другими родственниками, с односельчанами	parents	other relatives	NA	fellow villagers	NA	elderly	NA	да		да		на русском	NA	NA	Russian	От аудитории , до которой надо донести информацию/мысль 	на ботлихском, на русском	Botlikh	NA	Russian	Язык собеседника 	Затрудняюсь ответить 	NA	В преимущество патриархальном Дагестане - на языке отца , скорее всего 	paternal	Говорю нормально, но не знаю много слов.	OK		Скорее да 	yes	не уверен(а)	not sure	3	3	да	yes	5	1	5	1	5	5	5	3	3	5	5	2	2	5	5	5	3	5	5	5	5	5	5	5	письменность, учебные материалы, обязательные уроки, добровольные курсы, СМИ, развлекательный контент	Разговорный клуб 	Носитель языка 	Сохранение истории 	history	Уверенность в своей принадлежности к чему то сакраментальному 	Къвачара 		да
