name	label	lat	lon	lang	color
Miarso	Miarso	42.654059	46.175643	Botlikh	#336699
Botlikh	Botlikh	42.667813	46.221451	Botlikh	#336699
Ashino	Ashino	42.683462	46.156727	Botlikh	#336699
Godoberi	"
"	42.6258	46.1189	Godoberi	#003399
Beledi	"
"	42.66722	46.05361	Godoberi	#003399
Zibirkhali	"
"	42.66833	46.07194	Godoberi	#003399
Ansalta	"
"	42.6939	46.1147	Avar	#009999
Rakhata	"
"	42.6911	46.1414	Avar	#009999
Tando	"
"	42.707696	46.175693	Avar	#009999
Kvankhidatli	"
"	42.65789	46.271742	Andi	#003366
Muni	"
"	42.680242	46.308874	Andi	#003366
Nizhnee Inkhelo	"
"	42.645134	46.259367	Karata	#666699
Verkhnee Inkhelo	"
"	42.62035	46.329732	Karata	#666699
Chanko	"
"	42.717936	46.246417	Andi	#003366
Zilo	"
"	42.731394	46.319223	Andi	#003366
Tasuta	"
"	42.71731	46.22568	Avar	#009999
Alak	"
"	42.6092	46.1972	Avar	#009999
Ankho	Ankho	42.72639	46.23889	Botlikh	#336699
